bar_id	start_node	x1	y1	z1	end_node	x2	y2	z2	L	storey
292	23255	8.789	42.999	6	1087	5.53944129	45.55931723	6	4.13701053031918	2F
379	1087	5.53944129	45.55931723	6	23316	3.34103944	47.29143123	6	2.79878359347046	2F
381	3281	8.25909766	49.00914566	6	3274	11.07201714	52.57931043	6	4.54517243742332	2F
385	23260	11.508	46.449	6	3281	8.25909766	49.00914566	6	4.13638878918246	2F
386	3281	8.25909766	49.00914566	6	59	6.05985372	50.74215708	6	2.80000044454946	2F
390	23311	4.14429501	48.3109247	6	23319	2.14546133	49.88696968	6	2.54543785217505	2F
391	23319	2.14546133	49.88696968	6	23314	0.14586826	51.46126938	6	2.54495422179106	2F
487	2032	6.34632211	31.71414363	6	23466	7.01284216	32.56074538	6	1.07748944317569	2F
2282	2213	5.627	15.311	6	2193	7.05971719	12.38434986	6	3.25852107381301	2F
2283	2214	4.18	18.266	6	2213	5.627	15.311	6	3.29026351528263	2F
2284	2215	2.775	21.136	6	2214	4.18	18.266	6	3.19545380188793	2F
2285	2216	1.45097967	23.84004187	6	2215	2.775	21.136	6	3.01079263134584	2F
255	2072	0	25.169	6	2234	0.63144251	25.23698303	6	0.635091596388333	2F
2287	2070	2.128	20.819	6	2215	2.775	21.136	6	0.720484559168342	2F
2288	2215	2.775	21.136	6	2129	7.548	23.472	6	5.31398391040093	2F
2289	2069	3.532	17.948	6	2214	4.18	18.266	6	0.721822692910109	2F
2290	2214	4.18	18.266	6	2130	8.975	20.613	6	5.33857977368513	2F
2291	2067	4.977	14.993	6	2213	5.627	15.311	6	0.723618684114777	2F
2292	2213	5.627	15.311	6	2131	10.44681455	17.66834469	6	5.36541576057838	2F
2293	2195	7.32	11.852	6	2217	9.59	12.961	6	2.52641663230751	2F
2294	2217	9.59	12.961	6	2199	12.167	14.219	6	2.86766333449378	2F
2297	2219	21.24	35.685	6	51	22.94454417	36.67555404	6	1.97146344973507	2F
2299	2221	23.923	37.11	6	2222	25.387	37.529	6	1.52277936681582	2F
2300	2222	25.387	37.529	6	2223	26.895	37.74	6	1.52269005381923	2F
2301	2223	26.895	37.74	6	2185	28.417	37.739	6	1.52200032851507	2F
2302	2027	13.543	27.419	6	2224	13.627	28.479	6	1.06332309294965	2F
2303	2224	13.627	28.479	6	2225	13.99	30.414	6	1.96875442856645	2F
2304	2225	13.99	30.414	6	2226	14.619	32.281	6	1.97010913403293	2F
2305	2226	14.619	32.281	6	2227	15.501	34.041	6	1.96863506013685	2F
2306	2227	15.501	34.041	6	2035	16.62	35.662	6	1.96972130008283	2F
2307	2228	16.712	26.588	6	2229	16.782	28.113	6	1.52660571202914	2F
2308	2229	16.782	28.113	6	2230	17.063	29.613	6	1.52609337853226	2F
2309	2230	17.063	29.613	6	2231	17.55	31.059	6	1.52580634419968	2F
2310	2231	17.55	31.059	6	2232	18.234	32.424	6	1.52678780450985	2F
2311	2232	18.234	32.424	6	2036	19.101	33.68	6	1.52617987144373	2F
2313	2077	30.332	6.473	6	2039	30.332	9.473	6	3	2F
